Scenario,Network,Model,Channel,Channel Name,Precision,Recall,F1 Score,Accuracy
AD Male vs Female,MI,XGBoost,2,F3,0.8,0.6,0.5666666666666667,0.6
AD Male vs Female,MI,Random Forest,3,F4,0.85,0.8,0.7809523809523808,0.8
AD Male vs Female,MI,XGBoost,3,F4,0.85,0.8,0.7809523809523808,0.8
AD Male vs Female,MI,Random Forest,4,C3,0.6,0.6,0.6,0.6
AD Male vs Female,MI,XGBoost,4,C3,0.6,0.6,0.6,0.6
AD Male vs Female,MI,Random Forest,5,C4,0.6,0.6,0.6,0.6
AD Male vs Female,MI,XGBoost,5,C4,0.8,0.6,0.5666666666666667,0.6
AD Male vs Female,MI,Random Forest,6,P3,0.8666666666666666,0.8,0.8,0.8
AD Male vs Female,MI,XGBoost,6,P3,0.4333333333333333,0.4,0.4,0.4
AD Male vs Female,MI,Random Forest,7,P4,0.8,0.6,0.5666666666666667,0.6
AD Male vs Female,MI,XGBoost,7,P4,0.6,0.6,0.6,0.6
AD Male vs Female,MI,Random Forest,8,O1,0.36,0.6,0.45,0.6
AD Male vs Female,MI,XGBoost,8,O1,0.36,0.6,0.45,0.6
AD Male vs Female,MI,Random Forest,9,O2,0.85,0.8,0.7809523809523808,0.8
AD Male vs Female,MI,XGBoost,9,O2,0.85,0.8,0.7809523809523808,0.8
AD Male vs Female,MI,Random Forest,10,F7,0.85,0.8,0.7809523809523808,0.8
AD Male vs Female,MI,XGBoost,10,F7,0.85,0.8,0.7809523809523808,0.8
AD Male vs Female,MI,Random Forest,11,F8,0.6,0.6,0.6,0.6
AD Male vs Female,MI,XGBoost,11,F8,0.3,0.4,0.34285714285714286,0.4
AD Male vs Female,MI,Random Forest,12,T3,0.85,0.8,0.7809523809523808,0.8
AD Male vs Female,MI,XGBoost,12,T3,0.6,0.6,0.6,0.6
AD Male vs Female,MI,Random Forest,13,T4,0.85,0.8,0.7809523809523808,0.8
AD Male vs Female,MI,XGBoost,13,T4,0.85,0.8,0.7809523809523808,0.8
AD Male vs Female,MI,Random Forest,14,T5,0.6,0.6,0.6,0.6
AD Male vs Female,MI,XGBoost,14,T5,0.6,0.6,0.6,0.6
AD Male vs Female,MI,Random Forest,15,T6,0.6,0.6,0.6,0.6
AD Male vs Female,MI,XGBoost,15,T6,0.6,0.6,0.6,0.6
AD Male vs Female,MI,Random Forest,16,Fz,0.4333333333333333,0.4,0.4,0.4
AD Male vs Female,MI,XGBoost,16,Fz,0.6,0.6,0.6,0.6
AD Male vs Female,MI,Random Forest,17,Cz,1.0,1.0,1.0,1.0
AD Male vs Female,MI,XGBoost,17,Cz,1.0,1.0,1.0,1.0
AD Male vs Female,MI,Random Forest,18,Pz,0.85,0.8,0.7809523809523808,0.8
AD Male vs Female,MI,XGBoost,18,Pz,0.4333333333333333,0.4,0.4,0.4
FTD Male vs Female,MI,Random Forest,0,Fp1,0.39999999999999997,0.5,0.4444444444444444,0.5
FTD Male vs Female,MI,XGBoost,0,Fp1,0.2222222222222222,0.16666666666666666,0.19047619047619047,0.16666666666666666
FTD Male vs Female,MI,Random Forest,1,Fp2,0.39999999999999997,0.5,0.4444444444444444,0.5
FTD Male vs Female,MI,XGBoost,1,Fp2,0.39999999999999997,0.5,0.4444444444444444,0.5
FTD Male vs Female,MI,Random Forest,2,F3,0.39999999999999997,0.5,0.4444444444444444,0.5
FTD Male vs Female,MI,XGBoost,2,F3,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.6666666666666666
FTD Male vs Female,MI,Random Forest,3,F4,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
FTD Male vs Female,MI,XGBoost,3,F4,0.39999999999999997,0.5,0.4444444444444444,0.5
FTD Male vs Female,MI,Random Forest,4,C3,0.39999999999999997,0.5,0.4444444444444444,0.5
FTD Male vs Female,MI,XGBoost,4,C3,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.6666666666666666
FTD Male vs Female,MI,Random Forest,5,C4,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
FTD Male vs Female,MI,XGBoost,5,C4,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
FTD Male vs Female,MI,Random Forest,6,P3,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
FTD Male vs Female,MI,XGBoost,6,P3,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
FTD Male vs Female,MI,Random Forest,7,P4,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
FTD Male vs Female,MI,XGBoost,7,P4,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
FTD Male vs Female,MI,Random Forest,8,O1,0.8888888888888888,0.8333333333333334,0.8380952380952381,0.8333333333333334
FTD Male vs Female,MI,XGBoost,8,O1,0.4166666666666667,0.3333333333333333,0.3333333333333333,0.3333333333333333
FTD Male vs Female,MI,Random Forest,9,O2,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
FTD Male vs Female,MI,XGBoost,9,O2,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
FTD Male vs Female,MI,Random Forest,10,F7,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
FTD Male vs Female,MI,XGBoost,10,F7,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
FTD Male vs Female,MI,Random Forest,11,F8,0.4444444444444444,0.6666666666666666,0.5333333333333333,0.6666666666666666
FTD Male vs Female,MI,XGBoost,11,F8,0.4444444444444444,0.6666666666666666,0.5333333333333333,0.6666666666666666
FTD Male vs Female,MI,Random Forest,12,T3,0.39999999999999997,0.5,0.4444444444444444,0.5
FTD Male vs Female,MI,XGBoost,12,T3,0.39999999999999997,0.5,0.4444444444444444,0.5
FTD Male vs Female,MI,Random Forest,13,T4,0.8888888888888888,0.8333333333333334,0.8380952380952381,0.8333333333333334
FTD Male vs Female,MI,XGBoost,13,T4,0.8888888888888888,0.8333333333333334,0.8380952380952381,0.8333333333333334
FTD Male vs Female,MI,Random Forest,14,T5,0.39999999999999997,0.5,0.4444444444444444,0.5
FTD Male vs Female,MI,XGBoost,14,T5,0.39999999999999997,0.5,0.4444444444444444,0.5
FTD Male vs Female,MI,Random Forest,15,T6,0.39999999999999997,0.5,0.4444444444444444,0.5
FTD Male vs Female,MI,XGBoost,15,T6,0.39999999999999997,0.5,0.4444444444444444,0.5
FTD Male vs Female,MI,Random Forest,16,Fz,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
FTD Male vs Female,MI,XGBoost,16,Fz,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
FTD Male vs Female,MI,Random Forest,17,Cz,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
FTD Male vs Female,MI,XGBoost,17,Cz,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
FTD Male vs Female,MI,Random Forest,18,Pz,1.0,1.0,1.0,1.0
FTD Male vs Female,MI,XGBoost,18,Pz,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
Healthy vs Patient,PLV,Random Forest,0,Fp1,0.5316239316239317,0.5555555555555556,0.537037037037037,0.5555555555555556
Healthy vs Patient,PLV,XGBoost,0,Fp1,0.7175925925925926,0.7222222222222222,0.7175771088814568,0.7222222222222222
Healthy vs Patient,PLV,Random Forest,1,Fp2,0.4464285714285714,0.5,0.4618181818181818,0.5
Healthy vs Patient,PLV,XGBoost,1,Fp2,0.34375,0.5,0.4074074074074074,0.5
Healthy vs Patient,PLV,Random Forest,2,F3,0.6564102564102564,0.6666666666666666,0.6527777777777778,0.6666666666666666
Healthy vs Patient,PLV,XGBoost,2,F3,0.4464285714285714,0.5,0.4618181818181818,0.5
Healthy vs Patient,PLV,Random Forest,3,F4,0.4861111111111111,0.5,0.49163879598662213,0.5
Healthy vs Patient,PLV,XGBoost,3,F4,0.6222222222222222,0.6111111111111112,0.6148148148148148,0.6111111111111112
Healthy vs Patient,PLV,Random Forest,4,C3,0.6018518518518517,0.6111111111111112,0.6046079524340394,0.6111111111111112
Healthy vs Patient,PLV,XGBoost,4,C3,0.5873015873015874,0.6111111111111112,0.5814141414141414,0.6111111111111112
Healthy vs Patient,PLV,Random Forest,5,C4,0.6222222222222222,0.6111111111111112,0.6148148148148148,0.6111111111111112
Healthy vs Patient,PLV,XGBoost,5,C4,0.5125,0.5,0.5047619047619047,0.5
Healthy vs Patient,PLV,Random Forest,6,P3,0.4962962962962963,0.5555555555555556,0.5008547008547009,0.5555555555555556
Healthy vs Patient,PLV,XGBoost,6,P3,0.34375,0.5,0.4074074074074074,0.5
